batch_id,unit_id,description,connector,primary_band,scan_label,scan_range_mhz,res_freq_mhz,swr_at_res,spot1_label,spot1_freq_mhz,spot1_swr,spot2_label,spot2_freq_mhz,spot2_swr,spot3_label,spot3_freq_mhz,spot3_swr,overall_status,notes
LR,LR-01,Slinkdisco 5dBi N-terminal LoRa antenna via SMA adapter,N Male,LoRa,LoRa,800–1200,895.0,1.031,902MHz,902,1.173,915MHz,915.0,1.424,928MHz,928.0,1.739,Good,Resonance low side of LoRa band; SWR rising toward 928 but stays under 1.8 across window. Clean unit.
LR,LR-02,Slinkdisco 5dBi N-terminal LoRa antenna via SMA adapter,N Male,LoRa,LoRa,800–1200,906.0,1.017,902MHz,902,1.089,915MHz,915.0,1.209,928MHz,928.0,1.612,Good,Resonance centered in LoRa band; excellent across 902–915; slight rise toward 928 still well under 1.8. Better unit of the pair.
ST,ST-LoRA,AIO v1 bundled stubby LoRa antenna (no ground plane),SMA Male,LoRa,LoRa,800–1200,983.0,1.146,902MHz,902,4.032,915MHz,915.0,3.62,928MHz,928.0,3.256,Do_Not_Use,Resonance ~55 MHz above LoRa band; in-band SWR 3.2–4.0 without ground plane. Expected monopole behavior — not a dipole.
LTE,LTE-01,Sixfab broadband blade antenna,SMA Male,LoRa/Cell,LoRa/Cell,800–1200,867.0,1.494,902MHz,902,1.51,915MHz,915.0,1.614,928MHz,928.0,1.852,Good,Resonance 867 MHz; marginal through 915 rising to borderline at 928. Integral cable antenna; cable-affected measurement likely.
LTE,LTE-01,Sixfab broadband blade antenna,SMA Male,LTE-mid,midbandLTE,1000–1700,1500.5,1.059,1700MHz,1700,2.137,,,,,,,Good,
LTE,LTE-01,Sixfab broadband blade antenna,SMA Male,5G-sub6,5G sub-6,3200–4200,3362.5,1.007,3300MHz,3300,1.234,3700MHz,3700.0,2.065,4100MHz,4100.0,4.128,Good,Strong resonance at 3362 MHz; usable only in low n77; fails mid and high n77/n78.
LTE,LTE-02,Spypoint trail cam LTE antenna,SMA Male,UHF,UHF,400–1000,797.5,1.308,700MHz,700,1.838,777MHz,777.0,1.491,788MHz,788.0,1.359,Good,Primary resonance at 797.5 MHz; cleanest coverage 777–798 MHz (B14 uplink). B12/B13 core (700–746) marginal at 1.84–1.90 but under 2.0. Secondary partial resonance at 682 MHz.
LTE,LTE-02,Spypoint trail cam LTE antenna,SMA Male,LoRa/Cell,LoRa/Cell,800–1200,800.0,1.659,902MHz,902,2.007,915MHz,915.0,2.095,928MHz,928.0,2.139,Do_Not_Use,No resonance in LoRa window; in-band SWR 2.0+ across all spots. Expected — not a LoRa antenna.
LTE,LTE-02,Spypoint trail cam LTE antenna,SMA Male,LTE-mid,midbandLTE,1000–1700,1691.2,1.297,1700MHz,1700,1.313,,,,,,,Good,
LTE,LTE-02,Spypoint trail cam LTE antenna,SMA Male,5G-sub6,5G sub-6,3200–4200,3767.5,2.278,3300MHz,3300,4.434,3700MHz,3700.0,2.768,4100MHz,4100.0,7.268,Marginal,No usable sub-6 coverage. Expected — not a 5G antenna.
ZBM2,ZBM2-GPS,ZBM2 Industries The Stubby L1 GPS variant (SMA Male),SMA Male,GPS,GPS/LTE,1000–1700,1308.0,1.845,1575MHz,1575,2.551,1227MHz,1227.0,4.693,,,,Do_Not_Use,FAIL
RatlSnakeM6,RatlSnakeM6-BlueBand,Nooelec RaTLSnake M6 v2 DVB-T/GSM stubby (blue band),SMA Male,ADS-B,ADS-B (out of band),1000–1200,1002.5,2.787,1090MHz,1090,2.891,,,,,,,Marginal,
RatlSnakeM6,RatlSnakeM6-BlueBand,Nooelec RaTLSnake M6 v2 DVB-T/GSM stubby (blue band),SMA Male,ADS-B,ADS-B metal plate,1000–1200,1002.5,2.787,1090MHz,1090,2.891,,,,,,,Marginal,
RatlSnakeM6,RatlSnakeM6-BlueBand,Nooelec RaTLSnake M6 v2 DVB-T/GSM stubby (blue band),SMA Male,ADS-B,ADS-B plate+hand,1000–1200,1156.0,2.871,1090MHz,1090,3.061,,,,,,,Do_Not_Use,
RatlSnakeM6,RatlSnakeM6-PlainBlack,Nooelec RaTLSnake M6 v2 wideband whip/helical (plain black),SMA Male,UHF,UHF,400–1000,703.0,1.145,433MHz,433,9.81,868MHz,868.0,3.53,915MHz,915.0,3.719,Good,Clean resonance at 703 MHz; suited for 700 MHz UHF/LTE band. Poor at 433/868/915 — not tuned for those. Wideband SDR receive antenna; low SWR window is narrow.
Gizont,Gizont-01,Gizont LoRa antenna (SMA Male),SMA Male,LoRa,LoRa,800–1200,919.0,1.203,902MHz,902,1.248,915MHz,915.0,1.211,928MHz,928.0,1.302,Good,Excellent resonance centered in LoRa band; all in-band spots under 1.31. Clean unit.
Muzi,Muzi-01,Muzi LoRa antenna (SMA Male),SMA Male,LoRa,LoRa,800–1200,919.0,1.256,902MHz,902,1.374,915MHz,915.0,1.274,928MHz,928.0,1.346,Good,Resonance at 919 MHz; slightly elevated at 902 but all spots under 1.38. Solid performer.
MakerHawk,MakerHawk-01,MakerHawk LoRa antenna (SMA Male),SMA Male,LoRa,LoRa,800–1200,926.0,1.196,902MHz,902,1.435,915MHz,915.0,1.299,928MHz,928.0,1.201,Good,Resonance slightly high at 926 MHz; best at 928 end of band. SWR 1.44 at 902 is highest spot reading but under threshold.
HzFitInc,HzFitInc-01,HzFitInc Amazon ADS-B 1090 MHz antenna (SMA Male),SMA Male,ADS-B,ADS-B,1000–1200,1090.0,1.02,1090MHz,1090,1.02,,,,,,,Good,
ADSB,RTL-long-closed,RTL-SDR Blog long telescopic fully closed,SMA Male,ADS-B,ADS-B,1000–1200,1200.0,3.192,1090MHz,1090,3.683,,,,,,,Do_Not_Use,Fully closed; resonance at scan ceiling 1200 MHz; SWR 3.68 at 1090.
ADSB,RTL-long-1sec,RTL-SDR Blog long telescopic 1 section extended,SMA Male,ADS-B,ADS-B,1000–1200,1127.5,1.519,1090MHz,1090,1.577,,,,,,,Good,Resonance 1127.5 MHz; closest RTL-long config to 1090. SWR 1.577 at 1090.
ADSB,RTL-long-2sec,RTL-SDR Blog long telescopic 2 sections extended,SMA Male,ADS-B,ADS-B,1000–1200,1022.0,1.19,1090MHz,1090,3.268,,,,,,,Do_Not_Use,Resonance 1022 MHz; 68 MHz low; SWR 3.27 at 1090.
ADSB,RTL-long-3sec,RTL-SDR Blog long telescopic 3 sections extended,SMA Male,ADS-B,ADS-B,1000–1200,1147.5,1.255,1090MHz,1090,2.762,,,,,,,Marginal,Resonance 1147.5 MHz; 58 MHz high; SWR 2.76 at 1090.
ADSB,RTL-long-full,RTL-SDR Blog long telescopic fully extended,SMA Male,ADS-B,ADS-B,1000–1200,1075.5,1.332,1090MHz,1090,1.759,,,,,,,Good,Resonance 1075.5 MHz; 15 MHz low; SWR 1.759 at 1090.
ADSB,RTL-short-closed,RTL-SDR Blog short telescopic fully closed,SMA Male,ADS-B,ADS-B,1000–1200,1000.5,2.997,1090MHz,1090,4.021,,,,,,,Do_Not_Use,Resonance at scan floor 1000 MHz; SWR 4.02 at 1090. Too short.
ADSB,RTL-short-open,RTL-SDR Blog short telescopic fully open,SMA Male,ADS-B,ADS-B,1000–1200,1200.0,1.686,1090MHz,1090,3.188,,,,,,,Do_Not_Use,Resonance at scan ceiling 1200 MHz; SWR 3.19 at 1090. Too short across full range.
ADSB,RS-collapsed,RatlSnake M6 telescopic fully collapsed,SMA Male,ADS-B,ADS-B,1000–1200,1003.5,2.243,1090MHz,1090,3.449,,,,,,,Do_Not_Use,Fully collapsed; resonance 1003.5 MHz; SWR 3.45 at 1090.
ADSB,RS-1sec-collapse,RatlSnake M6 telescopic 1 section collapsed from bottom,SMA Male,ADS-B,ADS-B,1000–1200,1046.0,1.19,1090MHz,1090,2.863,,,,,,,Marginal,Resonance 1046 MHz; SWR 2.86 at 1090.
ADSB,RS-2sec-collapse,RatlSnake M6 telescopic 2 sections collapsed from bottom,SMA Male,ADS-B,ADS-B,1000–1200,1067.0,1.263,1090MHz,1090,1.968,,,,,,,Good,Resonance 1067 MHz; SWR 1.968 at 1090.
ADSB,RS-3sec-collapse,RatlSnake M6 telescopic 3 sections collapsed (optimal),SMA Male,ADS-B,ADS-B,1000–1200,1095.5,1.038,1090MHz,1090,1.2,,,,,,,Good,OPTIMAL CONFIG. Resonance 1095.5 MHz (5.5 MHz high); SWR@res 1.038; SWR 1.200 at 1090. Best ADS-B result of all antennas tested.
ADSB,RS-2top-out,RatlSnake M6 telescopic 2 top sections out (same as 3sec collapse),SMA Male,ADS-B,ADS-B,1000–1200,1096.0,1.035,1090MHz,1090,1.204,,,,,,,Good,Equivalent physical length to RS-3sec-collapse. Resonance 1096 MHz; SWR@res 1.035; SWR 1.204 at 1090. Confirmed optimal config.
ADSB,RS-1top-out,RatlSnake M6 telescopic 1 top section out,SMA Male,ADS-B,ADS-B,1000–1200,1194.5,1.479,1090MHz,1090,3.388,,,,,,,Do_Not_Use,Resonance 1194.5 MHz; too extended; SWR 3.39 at 1090.
ADSB,RS-full,RatlSnake M6 telescopic fully extended,SMA Male,ADS-B,ADS-B,1000–1200,1154.5,1.101,1090MHz,1090,3.208,,,,,,,Do_Not_Use,Fully extended; resonance 1154.5 MHz; SWR 3.21 at 1090.
