batch_id,unit_id,description,connector,primary_band,scan_label,scan_range_mhz,res_freq_mhz,swr_at_res,spot1_label,spot1_freq_mhz,spot1_swr,spot2_label,spot2_freq_mhz,spot2_swr,spot3_label,spot3_freq_mhz,spot3_swr,overall_status,notes
ACM,ACM-01,AWUS036ACM bundled dual-band antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2600.0,1.222,2400MHz,2400.0,1.834,2450MHz,2450.0,1.848,2484MHz,2484.0,1.719,Good,2.4 GHz resonance 2600.0 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACM. Marketed as Wi-Fi 7 antenna.
ACM,ACM-01,AWUS036ACM bundled dual-band antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5688.0,1.096,5150MHz,5150.0,1.175,5500MHz,5500.0,1.314,5850MHz,5850.0,1.164,Good,2.4 GHz resonance 2600.0 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACM. Marketed as Wi-Fi 7 antenna.
ACM,ACM-02,AWUS036ACM bundled dual-band antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2590.2,1.307,2400MHz,2400.0,1.941,2450MHz,2450.0,1.995,2484MHz,2484.0,1.871,Marginal,"2.4 GHz resonance 2590.2 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACM. Marketed as Wi-Fi 7 antenna. | Marginal — 2.4G weak (max SWR 2.02), 5G good (1.32)"
ACM,ACM-02,AWUS036ACM bundled dual-band antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5244.0,1.096,5150MHz,5150.0,1.331,5500MHz,5500.0,1.305,5850MHz,5850.0,1.241,Marginal,"2.4 GHz resonance 2590.2 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACM. Marketed as Wi-Fi 7 antenna. | Marginal — 2.4G weak (max SWR 2.02), 5G good (1.32)"
ACH,ACH-01,AWUS036ACH bundled dual-band antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2517.5,1.267,2400MHz,2400.0,1.63,2450MHz,2450.0,1.457,2484MHz,2484.0,1.293,Good,2.4 GHz resonance 2517.5 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACH. Marketed as Wi-Fi 7 antenna.
ACH,ACH-01,AWUS036ACH bundled dual-band antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5139.0,1.047,5150MHz,5150.0,1.059,5500MHz,5500.0,1.31,5850MHz,5850.0,1.152,Good,2.4 GHz resonance 2517.5 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACH. Marketed as Wi-Fi 7 antenna.
ACH,ACH-02,AWUS036ACH bundled dual-band antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2566.2,1.168,2400MHz,2400.0,1.659,2450MHz,2450.0,1.499,2484MHz,2484.0,1.337,Good,2.4 GHz resonance 2566.2 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACH. Marketed as Wi-Fi 7 antenna.
ACH,ACH-02,AWUS036ACH bundled dual-band antenna,RP-SMA Male,5GHz,5GHz,4800–6000,5655.0,1.062,5150MHz,5150.0,1.113,5500MHz,5500.0,1.218,5850MHz,5850.0,1.223,Good,2.4 GHz resonance 2566.2 MHz above WiFi band — in-band SWR elevated Bundled with AWUS036ACH. Marketed as Wi-Fi 7 antenna.
AL,AL-01,Alfa 9dBi 2.4 GHz omni antenna,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2378.0,1.063,2400MHz,2400.0,1.15,2450MHz,2450.0,1.399,2484MHz,2484.0,1.505,Marginal,"2.4 GHz only antenna. 5 GHz scan logged for reference. 2.4 GHz resonance 2378.0 MHz below band center. | Marginal — 5G weak (max SWR 2.29), 2.4G good (1.51)"
AL,AL-01,Alfa 9dBi 2.4 GHz omni antenna,RP-SMA Male,5GHz,5GHz,4800–6000,4917.0,1.152,5150MHz,5150.0,2.207,5500MHz,5500.0,1.902,5850MHz,5850.0,2.27,Marginal,"2.4 GHz only antenna. 5 GHz scan logged for reference. 2.4 GHz resonance 2378.0 MHz below band center. | Marginal — 5G weak (max SWR 2.29), 2.4G good (1.51)"
BF,BF-01,Bingfu 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2592.5,1.216,2400MHz,2400.0,1.913,2450MHz,2450.0,1.642,2484MHz,2484.0,1.486,Do_Not_Use,2.4 GHz resonance 2592.5 MHz above WiFi band.
BF,BF-01,Bingfu 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,5GHz,5GHz,4800–6000,5082.0,1.101,5150MHz,5150.0,1.786,5500MHz,5500.0,2.691,5850MHz,5850.0,4.484,Do_Not_Use,2.4 GHz resonance 2592.5 MHz above WiFi band.
BF,BF-02,Bingfu 8dBi dual-band paddle antenna RP-SMA,RP-SMA Male,2.4GHz,2.4GHz,2300–2600,2559.5,1.098,2400MHz,2400.0,1.558,2450MHz,2450.0,1.296,2484MHz,2484.0,1.196,Do_Not_Use,2.4 GHz resonance 2559.5 MHz above WiFi band.
