Batch,ID,Description,Connector,Claimed_Bands,Cable_Length,2.4G_Resonant_Freq_MHz,2.4G_SWR_At_Resonance,2.4G_SWR_At_2400MHz,2.4G_SWR_At_2450MHz,2.4G_SWR_At_2484MHz,2.4G_Resonance_Offset_MHz,2.4G_Verdict,5G_Resonant_Freq_MHz,5G_SWR_At_Resonance,5G_SWR_At_5150MHz,5G_SWR_At_5500MHz,5G_SWR_At_5850MHz,5G_Verdict,Other_Freq_MHz,Other_SWR_At_Resonance,Other_Verdict,Overall_Verdict,Notes,Recommended_Use_Case
SB,SB-01,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2352,1.118,-,1.20,1.25,-98,MARGINAL PASS,5676,1.723,-,~4.0,-,FAIL,-,-,-,FAIL,Broad shallow dip at 2.4GHz. Lossy load suspected. No 5GHz capability.,AVOID for TX — lossy load suspected. Passive RX only if desperate.
SB,SB-02,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2415,1.097,-,1.10,1.15,-35,PASS,4720,5.796,-,~8.0,-,FAIL,-,-,-,MARGINAL PASS,Good 2.4GHz match. Extremely noisy 5GHz trace. Single band only.,Signal Sleuth 2.4GHz backup; Marauder V7 backup
SB,SB-03,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2379,1.102,-,1.50,1.80,-70,MARGINAL PASS,-,-,-,-,-,N/A - Single Band,-,-,-,MARGINAL PASS,Marked single band. SWR climbs steeply through upper channels.,AVOID — steep SWR rise through upper channels
SB,SB-04,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2455,1.094,-,1.09,1.15,+4,PASS,-,-,-,-,-,FAIL,-,-,-,MARGINAL PASS,Best 2.4GHz in batch - dead on band center. No 5GHz capability confirmed.,PRIMARY: Marauder V7; Signal Sleuth 2.4GHz; uConsole CM4 backup. Best centered stubby in batch.
SB,SB-05,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2415,1.137,-,1.20,1.40,-35,MARGINAL PASS,-,-,-,-,-,FAIL,-,-,-,FAIL,Higher SWR than SB-02 at same resonant freq. No 5GHz capability.,AVOID for TX — suspected lossy load similar to SB-01
SB,SB-06,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2458,1.188,-,1.22,1.25,+7,PASS,-,-,-,-,-,FAIL,-,-,-,MARGINAL PASS,Well centered at 2.4GHz but higher SWR. Single band only.,Signal Sleuth 2.4GHz acceptable backup if SB-04/02/08 unavailable
SB,SB-07,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2464,1.215,-,1.23,1.30,+13,PASS,-,-,-,-,-,FAIL,-,-,-,MARGINAL PASS,Well centered but highest SWR of passing 2.4GHz units. Single band.,Signal Sleuth 2.4GHz acceptable backup if SB-04/02/08 unavailable
SB,SB-08,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2432,1.141,-,1.15,1.25,-18,PASS,-,-,-,-,-,FAIL,-,-,-,MARGINAL PASS,Good 2.4GHz match. No 5GHz capability confirmed.,Signal Sleuth 2.4GHz backup; Marauder V7 backup
SB,SB-09,Silver Base Stubby Omni 3-5dBi,SMA Male,2.4 GHz,None,2496,1.144,-,1.20,1.15,+46,PASS,-,-,-,-,-,N/A - Single Band,-,-,-,PASS,Marked single band. Resonance above center but acceptable SWR across band.,"Signal Sleuth 2.4GHz acceptable — single band, slight high offset"
PB,PB-01,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2350,1.223,-,1.50,1.80,-101,MARGINAL PASS,4853,1.048,1.80,1.60,2.50,MARGINAL PASS,-,-,-,MARGINAL PASS,2.4GHz resonance well below band. 5GHz dip just below band.,Signal Sleuth 5GHz port backup; C5 Wardriver backup — weak 2.4GHz offset
PB,PB-02,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2301,1.245,-,1.80,2.00,-149,FAIL,5503,1.073,1.55,1.07,1.40,PASS,-,-,-,MARGINAL PASS,Worst 2.4GHz unit. Excellent 5GHz centered at 5.5GHz.,"C5 Wardriver backup 5GHz only — worst 2.4GHz in batch, excellent 5GHz"
PB,PB-03,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2406,1.169,-,1.20,1.40,-44,PASS,4958,1.062,1.65,1.55,1.40,MARGINAL PASS,-,-,-,PASS,Good 2.4GHz. 5GHz dip just below band at 4.96GHz with broad coverage.,General dual-band spare; Signal Sleuth 5GHz port backup
PB,PB-04,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2359,1.147,-,1.50,1.80,-91,MARGINAL PASS,5415,1.066,1.55,1.10,1.60,PASS,-,-,-,MARGINAL PASS,2.4GHz below band. Best centered 5GHz unit at 5.415GHz.,C5 Wardriver backup — strong 5GHz at 5.415GHz; weak 2.4GHz
PB,PB-05,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2382,1.086,-,1.30,1.60,-68,MARGINAL PASS,5496,1.006,1.60,1.01,1.80,PASS,-,-,-,MARGINAL PASS,Low SWR at 2.4GHz despite offset. Near-perfect 5GHz at 5.496GHz.,Signal Sleuth 5GHz port; C5 Wardriver backup — near-perfect 5GHz SWR 1.006
PB,PB-06,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2398,1.090,-,1.15,1.35,-53,PASS,5519,1.006,1.60,1.01,1.70,PASS,-,-,-,PASS,Best overall unit. Good 2.4GHz. Near-perfect 5GHz at 5.519GHz.,"PRIMARY: C5 Wardriver external antenna — near-perfect 5GHz SWR 1.006, best centered 5GHz stubby"
PB,PB-07,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2345,1.159,-,1.60,1.90,-105,MARGINAL PASS,5464,1.011,1.55,1.05,1.60,PASS,-,-,-,MARGINAL PASS,2.4GHz well below band. Near-perfect 5GHz at 5.464GHz.,C5 Wardriver backup — near-perfect 5GHz SWR 1.011; weak 2.4GHz
PB,PB-08,Plain Base Stubby Dual-Band,SMA Male,2.4+5 GHz,None,2430,1.095,-,1.10,1.20,-20,PASS,4866,1.041,1.65,1.15,1.40,MARGINAL PASS,-,-,-,PASS,Best 2.4GHz in batch. 5GHz dip below band at 4.87GHz with broad coverage.,Best 2.4GHz in PB batch; general dual-band spare
ST,ST-01,2inch SMA Monopole,RP-SMA Female (adapter),2.4 GHz,None,DEFERRED,DEFERRED,-,-,-,DEFERRED,DEFERRED,-,-,-,-,-,DEFERRED,-,-,-,DEFERRED,Ground plane dependent. Retest required mounted on device.,DEFERRED — retest on device with ground plane
ST,ST-02,2inch SMA Monopole,RP-SMA Female (adapter),2.4 GHz,None,DEFERRED,DEFERRED,-,-,-,DEFERRED,DEFERRED,-,-,-,-,-,DEFERRED,-,-,-,DEFERRED,Ground plane dependent. Retest required mounted on device.,DEFERRED — retest on device with ground plane
ST,ST-03,2inch SMA Monopole,RP-SMA Female (adapter),2.4 GHz,None,DEFERRED,DEFERRED,-,-,-,DEFERRED,DEFERRED,-,-,-,-,-,DEFERRED,-,-,-,DEFERRED,Ground plane dependent. Retest required mounted on device.,DEFERRED — retest on device with ground plane
ST,ST-04,2inch SMA Monopole,SMA Male (direct),2.4 GHz,None,2399,2.377,-,3.50,8.00+,-51,FAIL,-,-,-,-,-,NOT TESTED,-,-,-,FAIL,Real dip visible but SWR 2.38. Chaotic behavior above 2.45GHz - possible bad solder joint.,FAIL — bad solder joint suspected. Do not use.
ST,SW-01,Stubby Whip Monopole ~3.5inch,SMA Male (direct),2.4 GHz,None,DEFERRED,DEFERRED,-,-,-,DEFERRED,DEFERRED,-,-,-,-,-,DEFERRED,-,-,-,DEFERRED,Ground plane dependent. Retest required on device.,DEFERRED — retest on device with ground plane
ST,SW-02,Stubby Whip Monopole ~3.5inch,SMA Male (direct),2.4 GHz,None,2301,2.751,-,3.00,3.00,-149,FAIL,-,-,-,-,-,NOT TESTED,-,-,-,FAIL,SWR ~3.0 flat across entire band. Ground plane dependent.,FAIL — SWR 3.0 flat. Do not use.
ST,SW-03,Stubby Whip Monopole ~3.5inch,SMA Male (direct),2.4 GHz,None,DEFERRED,DEFERRED,-,-,-,DEFERRED,DEFERRED,-,-,-,-,-,DEFERRED,-,-,-,DEFERRED,Ground plane dependent. Retest required on device.,DEFERRED — retest on device with ground plane
ST,SW-04,Stubby Whip Monopole ~3.5inch,SMA Male (direct),2.4 GHz,None,DEFERRED,DEFERRED,-,-,-,DEFERRED,DEFERRED,-,-,-,-,-,DEFERRED,-,-,-,DEFERRED,Ground plane dependent. Retest required on device.,DEFERRED — retest on device with ground plane
ST,SW-05,Stubby Whip Monopole ~3.5inch,SMA Male (direct),2.4 GHz,None,DEFERRED,DEFERRED,-,-,-,DEFERRED,DEFERRED,-,-,-,-,-,DEFERRED,-,-,-,DEFERRED,Ground plane dependent. Retest required on device.,DEFERRED — retest on device with ground plane
